N	Acuraccy	Precision	Recall	F-Measure	HastTag		Value	Comment
405	0.42997542	0.012875536	0.6	0.025210083	trust		0	killer interview about how trust is lost in online marketing and how to win it back with whyinstitute and autobizchris director of education activecampaignhttpstcouj6a52rf51
406	0.42892158	0.012820513	0.6	0.025104603	domesticviolence		0	rt bookclubpro1 abalone a provocative psychological drama for readers who loved the lucky one amp safe haven booklove inspiration l
407	0.42787287	0.012765957	0.6	0.025	genderbasedviolence		0	rt peacepanel peacebuilding starts at home our community panel will deliberate on family as foundation of peaceful communities next
408	0.42682928	0.012711864	0.6	0.024896264	domesticviolence		0.05882353	when deciding whether or not to disclose that they are being abused there are unique stigmas and obstacles those in the lgbtq community face in leaving an abusive partner lgbtq btsadv domesticviolence  httpstcoidgtsfxuu7
409	0.42822385	0.012711864	0.6	0.024896264	assertive		0	 an assertive person takes into account the feelings of the recipient and no offence is meant or taken aggression implies control which is exactly what the assertive person attempts to avoid? feelings assertive psy caring
410	0.42718446	0.012658228	0.6	0.024793388	violence		0.07692308	rt jens2go anyone dguf1969 is looking for someone interested in reviewing that latest volume on violence and the sacred in the ancie
411	0.42857143	0.012658228	0.6	0.024793388	trust		0	in edelmanprs recent trust barometer in brands we trust 81 of respondents said their trust in a brand drives purchasing decisions yet only a third trust the brands that they use how are modern brands to show that they are a name to be trusted httpstconm8y7thvvb
412	0.42753622	0.012605042	0.6	0.024691358	genderbasedviolence		0.05	in my view apartheid have brainwashed us in believing that the only way that  justice can be done is through punitive measures is an unbalanced view tho it is time we opt for restorative justice as an alternative in genderbasedviolence especially in a country like sa httpstco8yjql1q6tc
413	0.42891565	0.012605042	0.6	0.024691358	happiness		0	you may never get another chance???datingtips datingadvice relationshipgoals personaldevelopment lawofattraction relationshipadvice trustissues wordstoliveby singles trust truelove happiness couple trusttheprocess datecoachsharon httpstcolfmhgvnnnc
414	0.43028846	0.012605042	0.6	0.024691358	happiness		0	why is passion more important than position httpstcomxhyp0bbrphappiness httpstcovsgdnbodyw
415	0.43165466	0.012605042	0.6	0.024691358	trust		0	do these rateplans guarantee actual mobility service and not outages like this 3rd rogersoutage  rogershelps rogers missing services missing refunds credits  missing trust in any mobility company ????? family in hospital no access by cell  httpstcotddcamoyhj
416	0.43301436	0.012605042	0.6	0.024691358	trust		0.09090909	sweetbitterstz is back and bitterer than ever review httpstcopeqbkfkyzwdiandrareviews sweetbitter television growingup trust httpstcoez6oaixely
417	0.4319809	0.012552301	0.6	0.024590164	violence		0	rt jlenarddetroit walkawayfromdemocratshatewalkawayfromdemocratsviolencewalkawayfromdemocratsocialists shaunking antifa black
418	0.43095237	0.0125	0.6	0.024489796	violence		0.06666667	rt degan1965 obviously degan knight degan1965 is a pen name would you want this goop of utah lds murderers who have already made death
419	0.42992875	0.012448133	0.6	0.024390245	genderbasedviolence		0	i said that i am not a prosecutorthat you should raise your concerns with the npa as i cannot speak for them on this matteras far as i know babes had a countercharge maybe the facts were strong enough for her legal counsel to seek settlement genderbasedviolence httpstcozbyxycvryj
420	0.42890996	0.012396694	0.6	0.024291497	violence		0	the sad reality is the violence were seeing on our streets today is an appalling sideeffect of increasing inequality and alienation caused by years of government austerity and neglect sadiqkhan ??? guardian london britainmedia  httpstcodkiyeu0dji
421	0.427896	0.012345679	0.6	0.02419355	domesticviolence		0	rt afterabuse youre not healing if youre not taking time out for yourself love on yourself today you deserve it ?selfcare narci
422	0.4292453	0.012345679	0.6	0.02419355	happiness		0	rt kellyklavender grateful for my rescue pack everyday nationalrescuedogday dogs every morning i see a happy dog with an exuberant ge
423	0.4282353	0.012295082	0.6	0.024096387	violence		0.083333336	rt thebaldvegan its tragic how dark it is this world weve all been thrown intodark antinatalism animalcruelty climateemergency e
424	0.42723006	0.012244898	0.6	0.024	violence		0	thetanmamba not only will it get shut down in 10 seconds it will result in so much violence
425	0.42857143	0.012244898	0.6	0.024	happiness		0	avoid making bad decisions making decisions is hard and its especially difficult when were afraid of making bad decisions krisverle  humanityupgrade life awareness happiness httpstcokkkt08wuer
426	0.4275701	0.012195122	0.6	0.023904381	violence		0	jai shri ram the hindu chant that became a murder cryanother religion being used to spread violence and kill people  httpstcor637ihpuap
427	0.4289044	0.012195122	0.6	0.023904381	trust		0	my latest periscopeco was post 7 days ago title  the workaround for dental visit avoidance and delay strategies httpstcoygguleq6m9twitter marketing for dentists1 creating local community2 building trust3 developing loyalty4 increasing value httpstcowzkcxfrmho
428	0.427907	0.012145749	0.6	0.023809524	domesticviolence		0	i allowed myself to terminate all toxic poisonous relationships from those that continued to threaten my selfworth and peacethere is no place for any of those people anymore domesticviolence survivor seethetriumph overcomingabuse abuserecovery triumphoverabuse httpstcooz3zznelq1
429	0.42923433	0.012145749	0.6	0.023809524	happiness		0	rt clarkkellogg optimism is central to the design mindset but its not just glass half full ?pollyanna thinking ? what is the role
430	0.43055555	0.012145749	0.6	0.023809524	happiness		0	preproduction meeting we are ready for a great celebration ??event eventplanner happiness torobrands maryland virginia dc dmv love instagood me tbt cute follow followme photooftheday happy httpstcotie9dinsfn
431	0.4295612	0.012096774	0.6	0.023715414	violence		0.055555556	tibetpeople spreads hate amp incite others to be abusive which can cause violence twitter twittersupport pls take action against this abusive account cybercrime discrimination stopthehate httpstco8zfy9hvdwl
432	0.43087557	0.012096774	0.6	0.023715414	happiness		0.05	there is always a reason to smile find itmaüa associationmaüa teammaüa happiness adorable joy smile friends fun socialresponsibility positivethinking kids kidshealth love lifegoals solidarity httpstcomietxkjvwb
433	0.42988506	0.012048192	0.6	0.023622047	violence		0	rt gaslampball hurry mlbua urgent i believe the hashtags you like are mlb  busterespn disappointed leadbyexample notappreciated
434	0.42889908	0.012	0.6	0.02352941	genderbasedviolence		0.05	violenceagainstwomen genderbasedviolence and all forms of mental physical emotional and verbal abuse has to stop i am tired of keeping quiet even when you leave they continue to frigging abuse you you never really fing escape
435	0.42791763	0.011952192	0.6	0.023437502	violence		0	rt nemesissymphony sometimes we are what we are you should embrace that    descriptive 
436	0.42694065	0.011904762	0.6	0.023346303	genderbasedviolence		0	we cant talk enough about the physical mental and reproductive health consequences of genderbasedviolence join us as our gender specialist melodyrachel5 hosts tsanorteyd as they share more on dealing with sgbv sdg5 mygenderpledge habuhk4 julietkego amnestynigeria httpstcoqsxvacus6h
437	0.4259681	0.011857707	0.6	0.023255814	violence		0	staggering number of children exposed to violence in chicago new study says kid populat  jul 15  651 am et httpstcopjs2fhx59g
438	0.42727274	0.011857707	0.6	0.023255814	trust		0	tears give us a pureand true connectionwith otherstrust gives us a pureand true  connection with god ~jdltgtltgodlovetrustqanon httpstcoskeeeckrnl
439	0.42857143	0.011857707	0.6	0.023255814	happiness		0	time to charge the crystal full moon ? charging crystals xoxolive happiness crystalcharging healing funtimes fullmoon moon full happy joy love bam selenite moldavite calcite amethyst httpstcofqsgs6tu9j
440	0.42986426	0.011857707	0.6	0.023255814	happiness		0	exercise makes you feel good ?simplesit less aim for 30 mins 5 dayswk amp 2 days of strengthening exercisewklower your risk of many physical amp mental health issues whats not to like discuss with your gp if u have health problems amp enjoyhappinessworkingwellsucess httpstcoxqaew6iybt
441	0.43115124	0.011857707	0.6	0.023255814	trust		0	rt crowdfund360 want to launch your crowdfunding in september time is ticking sign up now to our online crowdfunding course which wil
442	0.43243244	0.011857707	0.6	0.023255814	happiness		0	theres always two sides of me  joker and harleyquinn mystory happiness positivevibesonly love oppositeattract foreverlove lovestory no on will understand us 777 httpstcozbxgidbbvr
443	0.43146068	0.011811024	0.6	0.023166023	violence		0.09090909	there were no checkpoints overrun according to 205corps  the taliban are not listening to the people they must stop their lies stop their propaganda stop causing violence stop killing civilians stop the hate start the peace kandahar httpstco6zpeed10dm
444	0.43049327	0.011764706	0.6	0.023076924	violence		0	child support is a top example of a policy that noone is happy with in the best cases of separation parents work out arrangements and stick with them in the hardest there is controversy violence and harm $16b child support is unpaid auspolhttpstcoswgnmphhjm httpstcoshv793zo78
445	0.43176734	0.011764706	0.6	0.023076924	trust		0	rt barnowlcentre meet rose whos 1 of our amazing great horned eagle owls in rehab there is so much rehabilitation work going on with
446	0.43080357	0.01171875	0.6	0.022988506	violence		0.071428575	rt refugecharity powerful words by london mayor sadiqkhan about rising violence rates the lesson we must all learn is that you cant
447	0.43207127	0.015564202	0.6666667	0.03041825	violence		0.125	a gay teen who was brutally bullied for years stabbed one of his attackers hes going to prison after judge ignored evidence and ruled that a selfdefense plea would not be allowed lgbtqia hate bigotry violence homophobia injusticehttpstcocclx7hekyf
448	0.4311111	0.015503876	0.6666667	0.03030303	genderbasedviolence		0	rt aarambhindia last week aarambhindia participated in the workshop understanding the approach of raising gender equitable boys conduc
449	0.43015522	0.015444015	0.6666667	0.030188678	violence		0	thewiselady22 they call themselves the squad but actually they are the mob definition mob a group of people especially ones that are disorderly and intent on causing trouble or violence ilhanmn picture says she committed fraud amp bigamy votetheradicalsoutsaveusa?? httpstcoz03nzqr5sv
450	0.42920354	0.015384615	0.6666667	0.030075189	violence		0.09090909	blog 48 do you understand the process of emotional abuse or violence between two people  httpstcombmofwalck httpstconx91hjrz7j
451	0.42825606	0.01532567	0.6666667	0.029962545	domesticviolence		0	rt wrap02 america houses adults amp children together n shelters 4 victims of domesticviolence every day n every city of our great usat
452	0.42951542	0.01532567	0.6666667	0.029962545	trust		0	a team is not a group of people that work together a team is a group of people that trust each other  simon sinek mondaymtivation teamwork trust httpstco1zw7duy9dt
453	0.42857143	0.015267176	0.6666667	0.029850746	violence		0.071428575	rt refugecharity powerful words by london mayor sadiqkhan about rising violence rates the lesson we must all learn is that you cant
454	0.4276316	0.015209125	0.6666667	0.029739775	violence		0	hurry mlbua urgent i believe the hashtags you like are mlb  busterespn disappointed leadbyexample notappreciated violence tempertantrum inaction nottolerated makeanexampleof onegamesuspension repeatoffender nonsense mlbuamlbuastinksoniceok thats mine httpstcoz2z4rf2ovb
455	0.42669585	0.015151516	0.6666667	0.029629633	violence		0	rt shelleymorse1 1st interview as canteachersfed prez 
456	0.4257642	0.01509434	0.6666667	0.029520297	violence		0	today we laid ryan to rest eventhough i didnt personally know him i could see how hes life impacted multiple people in the community i might have said it before but ill say it again i believe violence is not an accident it is preventable   fightforthefallen lifelessons httpstcovzbjptkt6o
457	0.4248366	0.015037594	0.6666667	0.029411767	violence		0	rt shelleymorse1 1st interview as canteachersfed prez 
458	0.42391303	0.014981274	0.6666667	0.029304031	domesticviolence		0	rt pipscipfpc better together news july 2019 ratification update  phoenix damages  claims process in development  a look back at o
459	0.42299348	0.014925373	0.6666667	0.02919708	domesticviolence		0	domesticviolence is so obviously a gendered crime that it makes me want to scream that we should even have to point that out aargh fawcettsociety httpstcobim8nv53eo
460	0.42207792	0.014869888	0.6666667	0.02909091	violence		0	rt chinaplusnews another violent clash broke out on sunday night in a hongkong shopping mall which left 22 people hospitalized calling
461	0.4211663	0.014814815	0.6666667	0.028985508	domesticviolence		0	good lord now that i know the origins of this phrase i dont think ill ever use it again who knew domesticviolence via niwapwcl httpstco1sa7yyqy3j
462	0.4202586	0.014760148	0.6666667	0.028880868	violence		0	cyberbullying grooming sexting  online violence affects many of our children much more than we realize join us for a lunch time seminar today to learn about what we know and dont know about preventing online violence against children httpstcoaef0zmiwc4
463	0.41935483	0.014705882	0.6666667	0.028776977	violence		0	be careful what you ask for violence against the police on the rise httpstcozulcxtx7ci backtheblue httpstcoz2lp1rblqn
464	0.42060086	0.014705882	0.6666667	0.028776977	happiness		0	love is beautiful ??quote happy love belief positivethoughts happiness positivevibesonly hope smile positivethoughts positivity selfcare selflove positivethinking quotestoliveby quotesdaily httpstcoxu7skfnevh
465	0.4197002	0.014652015	0.6666667	0.028673835	domesticviolence		0	rt blue94christina so thankful for the impact christian rainey amp madusainc are having on young male lives amp to combat domesticviolence
466	0.42094016	0.014652015	0.6666667	0.028673835	trust		0	rt ranal55 sometimes god is the only one who can fix your predicamentthats when you should stop struggling and trust himquote  g
467	0.42217484	0.014652015	0.6666667	0.028673835	trust		0	imagine this worldmentalhealth faith trust holyspirit jesus god bible christian anxiety bipolar depression mentalillness change endthestigma life selfcare selfawareness httpstcoqrz2pdrbwu
468	0.4212766	0.01459854	0.6666667	0.028571427	domesticviolence		0.083333336	rt pjmcgeehanlaw there is simply no justification for this more than half of female homicide victims are killed through intimate partne
469	0.42038217	0.014545455	0.6666667	0.02846975	violence		0.04347826	depersonalize and shift from reactive to proactive   muslim immigrant congresswomen   it must not be easy coming from a wartorn country  violence abuse honorkillings and mass murder are an acceptable response to any conflict according to thehttpstcomkqciiuuq1
470	0.42161018	0.014545455	0.6666667	0.02846975	trust		0	rt paddypoodle ok dogsoftwitter you are my friends right i can trust you right  youll be honest with me yes its r
471	0.422833	0.014545455	0.6666667	0.02846975	trust		0	rt barnowlcentre meet rose whos 1 of our amazing great horned eagle owls in rehab there is so much rehabilitation work going on with
472	0.42405063	0.014545455	0.6666667	0.02846975	trust		0	hurt me with truthbut never comfort me with a lie ??truth lies trust broke
473	0.42526317	0.014545455	0.6666667	0.02846975	happiness		0	start amp end every conversation especially the important ones with gratitude amp appreciation it will generate much more positive results ? sm drsheri gratitude communication 3as love relationship couple dating happiness relationshiphelp marriage marriageadvice httpstco4g3156vut6
474	0.42647058	0.014545455	0.6666667	0.02846975	trust		0	rt paddypoodle ok dogsoftwitter you are my friends right i can trust you right  youll be honest with me yes its r
475	0.42767295	0.014545455	0.6666667	0.02846975	happiness		0	rt drsherimeyers start amp end every conversation especially the important ones with gratitude amp appreciation it will generate much more positive results ? sm drsheri gratitude communication 3as love relationship couple dating happiness httpstcojnprmyvuvt
476	0.4288703	0.014545455	0.6666667	0.02846975	trust		0	rt barnowlcentre meet rose whos 1 of our amazing great horned eagle owls in rehab there is so much rehabilitation work going on with
477	0.42797494	0.014492754	0.6666667	0.028368795	violence		0	even with a valid visa on him they took him away and locked him up and the immigration office didnt inform the school until he died in their custodymalaysia student violence httpstcotwieoii1ia
478	0.42916667	0.014492754	0.6666667	0.028368795	happiness		0	exiting the cave by antonismanolissoundcloud ??????? music newmusic year song playing lovemusic socialmedia day life happy happiness love dream month wednesdayhttpstcogtbz9yra7e
479	0.43035343	0.014492754	0.6666667	0.028368795	trust		0	rt dtamusic one wordepic no finer example of mastery autonomy purpose hardwork fairness and trust dixonsta teammusic proudt
480	0.43153527	0.014492754	0.6666667	0.028368795	assertive		0	rt 16personalities success consists of getting up just one more time than you fall  oliver goldsmithlearn more about the campaigner
481	0.43271223	0.014492754	0.6666667	0.028368795	happiness		0	rt daphling happiness is two bestfriends both fresh from a bath out enjoying a mentalhealth break from the lab in the ??????
482	0.4338843	0.014492754	0.6666667	0.028368795	happiness		0.05263158	what a day congratulations to the newly elected eucommission president vonderleyen and sincere kudos for quoting thucydides the secret to happiness is freedom and the secret to freedom is courage  i really enjoyed that speech creditwhereitsdue vonderleyen
483	0.4329897	0.014440433	0.6666667	0.028268551	domesticviolence		0	rt wepuk domesticviolence is an epidemic in the uk and yet brutal council funding cuts have led to the dismantling of refuges amp support
484	0.43209878	0.01438849	0.6666667	0.028169014	violence		0	httpstcow6ekr3wnnn repalgreen you will answer for your evil violent race baiting ways infowars racism violence
485	0.43326488	0.01438849	0.6666667	0.028169014	happiness		0	rt rashmitchhabra love is beautiful ??quote happy love belief positivethoughts happiness positivevibesonly hope smile positiv
486	0.43237704	0.014336918	0.6666667	0.028070176	domesticviolence		0	rt cecelgraham when i say we need to combat violence in all its forms i meant the kind we sometimes cant see until its too late viole
487	0.43149284	0.014285714	0.6666667	0.027972028	domesticviolence		0	rt ramarajeswari familiar story abusive relationships  why its so hard for women to just leaveif he was a monster all the time
488	0.43061224	0.014234875	0.6666667	0.027874563	violence		0	rt etiennekrug 1319 of children aged 1017 have experienced online sex sollicitation by adults delighted to welcome global experts thi
489	0.42973524	0.014184397	0.6666667	0.027777776	violence		0	rt lekhachakrborty indianwomenblog nsitharaman 3s when she shared an insensitive way of handling a vulnerable woman  violence i was
490	0.43089432	0.014184397	0.6666667	0.027777776	happiness		0	rt trainingmindful the primary cause of unhappiness is never the situation but your thoughts about it ~ eckhart tolle stress happine
491	0.43204868	0.014184397	0.6666667	0.027777776	happiness		0	lucas has passed his first exams at kenya institute of management proud opportunities gratitud happiness httpstcozdlgncitn2
492	0.4311741	0.014134276	0.6666667	0.02768166	violence		0	rt amierasawas this is an excellent opportunity for a researcher to work w range of institutions across global south on  urban viole
493	0.43232325	0.014134276	0.6666667	0.02768166	happiness		0	rt mapprr it wont get any lessermapprrapp mapprr productdelivery hyperlocal happiness nearme grocery medicines petsupplies
494	0.43145162	0.014084507	0.6666667	0.027586207	genderbasedviolence		0	rt womenafrica35 we cant talk enough about the physical mental and reproductive health consequences of genderbasedviolence join us as
495	0.4305835	0.014035088	0.6666667	0.02749141	violence		0	ewarren they have to come into the country the legal way the right way or the unitedstates will no longer be the best place in the world to live every aspect of open boarders is wrong because you will flood america with every kind of drug amp violence there is to mankind
496	0.42971888	0.013986014	0.6666667	0.02739726	violence		0	rt dguf1969 this info is maybe of interest for you ?????? for rt amp supporting us w finding a reviewer jens2go in2thepast wolfgangpa
497	0.4288577	0.013937282	0.6666667	0.027303755	domesticviolence		0	rt ramarajeswari familiar story abusive relationships  why its so hard for women to just leaveif he was a monster all the time
498	0.428	0.013888889	0.6666667	0.027210884	violence		0.05882353	everybody wants peace and this moment is historic will the taliban stop their violence and killing of civilians and making bombs that hurt our children afghanpeace httpstco9u6xtp7pzn
499	0.42914173	0.013888889	0.6666667	0.027210884	trust		0	peertopeer  im lucky to be engaging in  peer to peer coaching with 2 fab business women each from different backgrounds the experience amp feedback from these sessions is invaluable weve built great relationships amp trust  i cant recommend it enough httpstcopthjzhqhuo
500	0.42828685	0.013840831	0.6666667	0.027118644	violence		0	rt darnelldepalma1 cnn and back in america 157 members of the racist gop just opposed renewing the violence against women act violenc
501	0.42942345	0.013840831	0.6666667	0.027118644	happiness		0	i am now working toward happiness sick of living my life day to day hoping things get better fuck i learned the hard way hope dosent amount to much action is clearly the right answergaryvee happiness betterlife
502	0.42857143	0.013793103	0.6666667	0.027027026	genderbasedviolence		0	rt paularumbolt this has to end lets be fearless about ending violence wcc oikoumene oikoumeneyouth domesticviolence genderbased
503	0.42772278	0.013745705	0.6666667	0.026936026	violence		0	rt pacesocial will you be in new york for hlpf19 on monday come amp join pacenews srsgvac ipupresident unicef fifacom amp glori
504	0.42885375	0.013745705	0.6666667	0.026936026	happiness		0	rt hsaaoe happiness is the smile of someone you love a decent breakfast the warm sunset your little everyday joys all lined up in a r
505	0.42998028	0.013745705	0.6666667	0.026936026	trust		0	rt ranal55 sometimes god is the only one who can fix your predicamentthats when you should stop struggling and trust himquote  g
506	0.42913386	0.01369863	0.6666667	0.026845638	violence		0	this is a high risk safeguarding report supported by social services my gp and a staff member from chp whos since left made in 2016 im still living here ive been told to declare myself homeless or to rent privately in order to movetransman violence hatecrime ????? httpstcot6h87ww4jl
507	0.42829075	0.013651877	0.6666667	0.026755853	domesticviolence		0	thank you for joining in with tonights abusetalk put next wednesday in your diary and hope you all have a great week any tweets within the week will be retweeted within the next chat  89pm gmt121pm pst34pm estdomesticabuse coercivecontrol domesticviolence httpstcogovw1ypeii
508	0.42941177	0.013651877	0.6666667	0.026755853	happiness		0	smile its contagioussmile smiles positivevibes positiveenergy goodvibes tuesdaymotivation tuesdayinspiration lifecoach happiness httpstcoanoxyo3t2h
509	0.42857143	0.013605442	0.6666667	0.026666667	violence		0	trumps comments have the potential to take the nation to violenceracistinchief attacks can not stand where are republicans they must stand up to this racistattack and loudly condemn themtrump those who believe as he does are a danger to us all httpstcou3cmc3liqp
510	0.4296875	0.013605442	0.6666667	0.026666667	happiness		0	adyashanti video extraordinary intimacy with all of life  httpstcooh2yhq0xer inspiration  yoga  wisdom  mindfulness  meditation  inspirational happiness  spiritual  spirituality  advaita deepakchopra  eckharttolle  alanwatts mooji  vedanta httpstco3hnhg507in
511	0.43079922	0.013605442	0.6666667	0.026666667	trust		0	rt beautyofbreslov nothing in this physical world can stand against the supernatural power of beliefconsciousness the leshememunah br
512	0.4319066	0.013605442	0.6666667	0.026666667	happiness		0	rt galleriaofart is money happinessyeshttpstco4qdauly9l0presented by?httpstcohjwwynal7zhappy wsj nasdaq stocks
513	0.4330097	0.013605442	0.6666667	0.026666667	happiness		0	counter ego with a goal to get you out of your head no matter how small fixing something painting a wall going for a walk studying something new etc httpstcowljnbqsyg7 selfawareness happiness consciousness healing spiritual selflove
514	0.43217054	0.013559322	0.6666667	0.026578072	domesticviolence		0	rt ramarajeswari familiar story abusive relationships  why its so hard for women to just leaveif he was a monster all the time
515	0.43326885	0.013559322	0.6666667	0.026578072	trust		0	rt ranal55 sometimes god is the only one who can fix your predicamentthats when you should stop struggling and trust himquote  g
516	0.43243244	0.013513514	0.6666667	0.026490066	violence		0	what explains latin americas outrageous levels of violence why has the rest of the world for the most part registered a steady decline and what lessons can we draw from this when it comes to preventing and disrupting lethal violence igarapeorg httpstcognuh6xukyc
517	0.43159923	0.013468013	0.6666667	0.02640264	genderbasedviolence		0	i can see that you are passionate on this issue and missing my point that im not disputing the criminal element in genderbasedviolencecriminalprosecution is not the only remedy in lawdeal with each case on its ownnpa did well to attempt adr in babeswodumo matter httpstcoswomou3lat
518	0.43269232	0.013468013	0.6666667	0.02640264	happiness		0	rt kellyklavender grateful for my rescue pack everyday nationalrescuedogday dogs every morning i see a happy dog with an exuberant ge
519	0.43186182	0.013422819	0.6666667	0.026315788	violence		0	rt martinjohnston8 this surely comes as no surprise to anyone who is serious about tackling the causes of violencepoverty is not an exc
520	0.43103448	0.013377926	0.6666667	0.026229508	domesticviolence	WN:107989121-n	0.0625	rt malepsychology also awful when you see psychologists blaming patriarchy for mens mental health issues amp general bad behaviour the
521	0.43021032	0.013333334	0.6666667	0.026143791	violence		0.037037037	us rep ayanna pressley fires back at president trump do not take the bait httpstco11t8u4rk58 via bostonherald gt bospoli mapoli racism xenophobia inequality immigration violence healthcare ma7 changecantwait reppressley thesquad thedemocrats
522	0.42938933	0.013289036	0.6666667	0.026058631	violence		0	rt asianstudiesrev ?? aan suryana discusses indonesias state response to the rise of communal violence against the minority communi
523	0.4304762	0.013289036	0.6666667	0.026058631	happiness		0	am i 100 happy about my body no but i am trying my best to become ok with it and accept that this is how i am built this summer for me is all about body positivity building my self confidence amp just being happy ???? summer bodypositivity selfconfidence happiness httpstcoudqqnhebcr
524	0.4296578	0.013245033	0.6666667	0.025974024	violence		0	this is an excellent opportunity for a researcher to work w range of institutions across global south on  urban violence amp climate change  wleadership from pakistan pls share w your networksbenazirjatoi yaminf pindwave rafayalam daanibhai atsheikh afiasalam httpstco6thrpzhsob
525	0.43074003	0.013245033	0.6666667	0.025974024	trust		0	rt themindsjournal you cant control everything sometimes you just need to relax and have faith that things will work out let go and le
526	0.4318182	0.013245033	0.6666667	0.025974024	trust		0	trust the god within you to handle what youre going throughmorethanenough
527	0.4310019	0.013201321	0.6666667	0.02588997	domesticviolence		0	rt samsmethers domesticviolence is so obviously a gendered crime that it makes me want to scream that we should even have to point that
528	0.43207547	0.013201321	0.6666667	0.02588997	trust		0	rt karijoys never stop believing joytrain successtrain believe joy faith trust  rt marigelpellin httpstcougml9fq9sq
529	0.43314502	0.013201321	0.6666667	0.02588997	trust		0	rt ranal55 sometimes god is the only one who can fix your predicamentthats when you should stop struggling and trust himquote  g
530	0.43421054	0.013201321	0.6666667	0.02588997	happiness		0	rt soulveda how to keep everybody happy when you are in command of an organisation  thought leader radhakrishnan pillai answers htt
531	0.43339586	0.013157895	0.6666667	0.025806451	domesticviolence		0	rt ghuangwa why there arent enough adjudicators to timely process vawa and crime victim visa applications delaying safety and autonomy
532	0.43258426	0.013114754	0.6666667	0.025723472	domesticviolence		0	rt ramarajeswari familiar story abusive relationships  why its so hard for women to just leaveif he was a monster all the time
533	0.43364486	0.013114754	0.6666667	0.025723472	trust		0	rt imagazineuk interview with emma winchurchbeale president of the worldmediagroup and international sales director at the washingto
534	0.43283582	0.013071896	0.6666667	0.025641028	genderbasedviolence		0	rt sanwalneha and 6 out of 10 women killed worldwide is killedmurdered by an intimate partner or family member safety at home shou
535	0.43202978	0.013029316	0.6666667	0.025559105	domesticviolence		0	10 games really if an nba or nfl player is charged with domestic violence its a shit storm but when its an wnba player its a slap on the wrist doesnt matter if its a man or woman  domesticviolence is not ok losangelessparks riqunawilliams
536	0.43122676	0.012987013	0.6666667	0.025477706	genderbasedviolence		0.09090909	rt ladybinzy violenceagainstwomen genderbasedviolence and all forms of mental physical emotional and verbal abuse has to stop i
537	0.432282	0.012987013	0.6666667	0.025477706	happiness		0	start amp end every conversation especially the important ones with gratitude amp appreciation it will generate much more positive results ? sm drsheri gratitude communication 3as love relationship couple dating happiness relationshiphelp marriage marriageadvice httpstco4svrvbgmbw
538	0.43148148	0.012944984	0.6666667	0.025396826	violence		0	? in my new video we look at some powerful wisdom we can learn from andy ngos horrific bashingantifascum  antifaterrorist antifaterrorists  andyngo violence mindset wisdom  from the assault on andy ngo by antifa  
539	0.43253234	0.012944984	0.6666667	0.025396826	happiness		0	are you being sacrificial or selfish in pursuit of your professional goalsbusiness theunamericandream success relationships entrepreneurship happiness httpstconeselbvbyd
540	0.43357933	0.012944984	0.6666667	0.025396826	trust		0	we often link sports to business amp on this occasion it couldnt be better linked to our four salesforce key valuestrust successinnovationequality congratulations england and what a world cup trailblazers httpstcozrxs66sm1d
541	0.43462247	0.012944984	0.6666667	0.025396826	happiness		0	while the marvel universe might not be the same after the mighty thanos finger snap perhaps we can use this plotline as a lifelearning lesson can this evil super villain actually teach us about creating happiness httpstcorp9vxehy8v
542	0.43566176	0.012944984	0.6666667	0.025396826	trust		0	rt karijoys never stop believing joytrain successtrain believe joy faith trust  rt marigelpellin httpstcougml9fq9sq
543	0.43669724	0.012944984	0.6666667	0.025396826	assertive		0	watch now it is important to be able to say no but you dont want to seem unhelpful or uncaring watch this video to see how to be assertive and adopt the right way to stand up for yourself httpstco6k6vnfvx1x
544	0.43589744	0.012903226	0.6666667	0.025316456	violence		0.04347826	powerful words by london mayor sadiqkhan about rising violence rates the lesson we must all learn is that you cantignore the most vulnerable people in our country at the same time as keeping crime low these things are fundamentally incompatiblehttpstcogzpantuohn httpstcocxjelxoybb
545	0.43510056	0.012861736	0.6666667	0.025236594	domesticviolence		0	rt hisight northern ireland set to follow scotland in understanding how animalabuse can be part of domesticviolence  now just england
546	0.43430656	0.012820513	0.6666667	0.025157232	violence		0	this is our country we have to fight together dancemovie actionfilm shortfilm naija violence mondaymorning httpstcoqpfyteeewi
547	0.43533698	0.012820513	0.6666667	0.025157232	trust		0	rt ranal55 sometimes god is the only one who can fix your predicamentthats when you should stop struggling and trust himquote  g
548	0.43454546	0.012779553	0.6666667	0.02507837	violence		0	france britain egypt uae us italy call for immediate end of libya violence httpstcowhzptnuthp
549	0.4337568	0.012738854	0.6666667	0.025	violence		0.055555556	apply for the spotlight initiative by unwomen and hand in a proposal on how to end violence against women and girls in latam or subsahara africa httpstco8chl8dhtld unwomenafrica deadline is 31st of july
550	0.4347826	0.012738854	0.6666667	0.025	trust		0	keeping it real is much more important than trying to keep things perfect with someone?longevity trust
551	0.43399638	0.012698413	0.6666667	0.024922118	domesticviolence		0	happy to be presenting at this years rad systems national conference selfdefenseforwomen domesticviolence fightlikeagirl radsystems httpstcovarfguf8lm
552	0.433213	0.012658228	0.6666667	0.024844721	violence		0	violence is contagious ? treatfight it like ebola
553	0.43243244	0.012618297	0.6666667	0.024767803	violence		0	perhaps one day the people of the united states will grow weary of the cost we pay for gun violence  httpstcokclkrr0fzc
